Title,Author
"Journals Of Expeditions Of Discovery Into Central Australia And Overland From Adelaide To King George's Sound In The Years 1840-1: Sent By The Colonists Of South Australia, With The Sanction And Support Of The Government: Including An Account Of The Manners And Customs Of The Aborigines And The State Of Their Relations With Europeans, Volume 2",Edward John Eyre
"Journals Of Expeditions Of Discovery Into Central Australia And Overland From Adelaide To King George's Sound In The Years 1840-1: Sent By The Colonists Of South Australia, With The Sanction And Support Of The Government: Including An Account Of The Manners And Customs Of The Aborigines And The State Of Their Relations With Europeans, Volume 1",Edward John Eyre
Rainbow Valley,Lucy Maud Montgomery
The Story Girl,Lucy Maud Montgomery
Kilmeny of the Orchard,Lucy Maud Montgomery
Further Chronicles of Avonlea,Lucy Maud Montgomery
Peter Schlemihl etc.,Adelbert Chamisso
Mark Rutherford's Deliverance,Mark Rutherford
Thirty-One Years on the Plains and In the Mountains,William F. Drannan
Stories by Foreign Authors,Various
Raspberry Jam,Carolyn Wells
Journals of Two Expeditions into the Interior of New South Wales,John Oxley
Every Man In His Humor,Ben Jonson
The Love Sonnets of a Car Conductor,Wallace Irwin
Naturae,Dom C
"Rhyme And Reason, A Compilation Of Verses, Rhymes And Senses",Dom C
Pophilo,Dom C
Writing for Vaudeville,Brett Page
Pinocchio in Africa,Cherubini
The Book of Were-Wolves,Sabine Baring-Gould
Concerning the Spiritual in Art,Wassily Kandinsky
Taken Alive,E. P. Roe
Pagan Papers,Kenneth Grahame
Through the Magic Door,Arthur Conan Doyle
Told in the East,Talbot Mundy
The Herd Boy and His Hermit,Charlotte M. Yonge
Mother Goose in Prose,L. Frank Baum
Parnassus on Wheels,Christopher Morley
The Point of View,Elinor Glyn
Miss Lou,E. P. Roe
The Paradise Mystery,J. S. Fletcher
Down the Ravine,Charles Egbert Craddock
"Travels in the Interior of Africa, Vol. 2 of 2",Mungo Park
My Robin,Frances Hodgson Burnett
The Little Hunchback Zia,Frances Hodgson Burnett
The Land of the Blue Flower,Frances Hodgson Burnett
The Imperialist,Sara Jeannette Duncan
"The Tales and Novels, Complete",Jean de La Fontaine
The Chaplet of Pearls,Charlotte M. Yonge
Darwiniana,Asa Gray
The Sea Fogs,Robert Louis Stevenson
Marjorie's Vacation,Carolyn Wells
The Film Mystery,Arthur B. Reeve
Driven Back to Eden,E. P. Roe
Courts and Criminals,Arthur Train
Sister Carrie,Theodore Dreiser
"Travels in the Interior of Africa, Vol. 1 of 2",Mungo Park
The Ball and The Cross,G.K. Chesterton
Patty's Butterfly Days,Carolyn Wells
The Girl Scout Pioneers,Lillian C. Garis
Curly and Floppy Twistytail,Howard R. Garis
Constance Dunlap,Arthur B. Reeve
A Duet,Arthur Conan Doyle
Hildegarde's Neighbors,Laura E. Richards
The Broad Highway,Jeffery Farnol
The History of the Life of the Late Mr. Jonathan Wild the Great,Henry Fielding
The Book of Good Manners,W. C. Green
Four Little Blossoms on Apple Tree Island,Mabel C. Hawley
The Maid of the Whispering Hills,Vingie E. Roe
The Voyage of Verrazzano,Henry C. Murphy
The Long Vacation,Charlotte M. Yonge
Travels in England in 1782,Charles P. Moritz
The Dock Rats of New York,"""Old Sleuth"" Harlan Page Halsey"
The Old Wives' Tale,Arnold Bennett
"Tales from the Arabic, Complete",John Payne
"Tales from the Arabic, Volume 3",John Payne
"Tales from the Arabic, Volume 2",John Payne
"Tales from the Arabic, Volume 1",John Payne
The Eye of Zeitoon,Talbot Mundy
"The Confessions of Harry Lorrequer, Complete",Charles James Lever
"The Confessions of Harry Lorrequer, Vol. 6",Charles James Lever
"The Confessions of Harry Lorrequer, Vol. 5",Charles James Lever
"The Confessions of Harry Lorrequer, Vol. 4",Charles James Lever
"The Confessions of Harry Lorrequer, Vol. 3",Charles James Lever
"The Confessions of Harry Lorrequer, Vol. 2",Charles James Lever
"The Confessions of Harry Lorrequer, Vol. 1",Charles James Lever
The Iron Trail,Rex Beach
Sejanus: His Fall,Ben Jonson
The Way We Live Now,Anthony Trollope
The Invisible Man,H. G. Wells
Felix O'Day,F. Hopkinson Smith
Ayesha,H. Rider Haggard
Sant' Ilario,F. Marion Crawford
"The Life and Letters of Thomas Henry Huxley, Vol. 2",Leonard Huxley
"The Satyricon, Complete",Petronius Arbiter
"The Satyricon, Vol. 7",Petronius Arbiter
"The Satyricon, Vol. 6",Petronius Arbiter
"The Satyricon, Vol. 5",Petronius Arbiter
"The Satyricon, Vol. 4",Petronius Arbiter
"The Satyricon, Vol. 3",Petronius Arbiter
"The Satyricon, Vol. 2",Petronius Arbiter
"The Satyricon, Vol. 1",Petronius Arbiter
Tales,George Crabbe
Film: Set of 4 Atomic Bomb Tests,The United States Government
Film: Several Different Atomic Detonations,The United States Government
Film: The Bikini Island BAKER Atomic Test,The United States Government
Film: The Bikini Island ABLE Atomic Text,The United States Government
Film: Trinity Shot,The United States Government
The Famous Missions of California,William Henry Hudson
The Borough,George Crabbe
Miscellaneous Poems,George Crabbe
The Parish Register,George Crabbe
The Guns of Shiloh,Joseph A. Altsheler
Fires and Firemen,Anonomous
"The Inns and Taverns of ""Pickwick""",B.W. Matz
The Village and The Newspaper,George Crabbe
The Golden Lion of Granpere,Anthony Trollope
Metamorphosis,Franz Kafka C
South!,Sir Ernest Shackleton
"My Life, Volume I",Richard Wagner
Their Mariposa Legend,Charlotte Herr
Cape Cod Stories,Joseph C. Lincoln
The Ivory Trail,Talbot Mundy
The Double Widowing,Riviere Dufresny C
"On a Dynamical Top, for exhibiting the phenomena of the motion of a system of invariable form about a fixed point, with some suggestions as to the Earth's motion",James Clerk Maxwell
The Case of Summerfield,William Henry Rhodes
Brandenburg Concerto No. 5 in D Major,Johann Sebastian Bach
"String Quartet C minor, Op. 51 no. 1",Johannes Brahms
"String Quartet in C Major, Op. 71 no. 1",Franz Josef Haydn
Miss Minerva and William Green Hill,Frances Boyd Calhoun
"Kalevala: the Epic Poem of Finland, Complete",Elias Lönnrot
"Kalevala: the Epic Poem of Finland, Vol. 2",Elias Lönnrot
"Kalevala: the Epic Poem of Finland, Vol. 1",Elias Lönnrot
The Unexpurgated Case Against Women Suffrage,Almroth E. Wright
The Old English Baron,Clara Reeve
Inebriety and the Candidate,George Crabbe
Children's Internet Protection Act Ruling,"the United States District Court for the Eastern District of Pennsylvania, May 31, 2002"
A Siren,Thomas Adolphus Trollope
Birds and Poets,John Burroughs
Corpus of a Siam Mosquito,Steven Sills C
Pearl-Maiden,H. Rider Haggard
Allan and the Holy Flower,H. Rider Haggard
The Religion of the Samurai,Kaiten Nukariya
Aladdin O'Brien,Gouverneur Morris
Thomas Hariot,Henry Stevens
Poems of Experience,Ella Wheeler Wilcox
Hardscrabble,John Richardson
The Land Of Heart's Desire,William Butler Yeats
The Countess Cathleen,William Butler Yeats
The Poetaster,Ben Jonson
Innocent,Marie Corelli
The Beetle,Richard Marsh
Guy Garrick,Arthur B. Reeve
Agatha Webb,Anna Katherine Green
The Treasure,Selma Lagerlof
The Mabinogion,Lady Charlotte Guest
Celtic Literature,Matthew Arnold
How I Found Livingstone,Henry M. Stanley
Beechcroft at Rockstone,Charlotte M. Yonge
Caesar's Column,Ignatius Donnelly
Rung Ho!,Talbot Mundy
One Thousand Questions in California Agriculture Answered,E. J. Wickson
The Exploits of Elaine,Arthur B. Reeve
The Ear in the Wall,Arthur B. Reeve
The Gold of the Gods,Arthur B. Reeve
Rodney Stone,Arthur Conan Doyle
The Fighting Governor,Charles W. Colby
The Heart of the Hills,John Fox
"My Life, Volume II",Richard Wagner
The Auction Block,Rex Beach
Graustark,George Barr McCutcheon
What Katy Did At School,Susan Coolidge
He Knew He Was Right,Anthony Trollope
"Around the World on a Bicycle, Vol. 1",Thomas Stevens
The Fortune of the Rougons,Emile Zola
Discoveries Made Upon Men and Matter,Ben Jonson
Letters to Sir William Windham and Mr. Pope,Lord Bolingbroke
Childe Harold's Pilgrimage,Lord Byron
The Prodigal Judge,Vaughan Kester
The Young Carthaginian,G.A. Henty
"Shakespeare, Bacon and the Great Unknown",Andrew Lang
Last Poems,Laurence Hope
Henrietta's Wish,Charlotte M. Yonge
The Contest in America,John Stuart Mill
The Trail of the Lonesome Pine,"John Fox, Jr."
Dark Hollow,Anna Katherine Green
Vandrad the Viking,J. Storer Clouston
The Lion and the Mouse,Charles Klein
The American Senator,Anthony Trollope
The Meaning of Truth,William James
Pragmatism,William James
Ardath,Marie Corelli
The Confessions of a Beachcomber,E. J. Banfield
Citation and Examination of William Shakspeare,Walter Savage Landor
The Real Diary of a Real Boy,Henry A. Shute
The Adventures of Jerry Muskrat,Thornton W. Burgess
Ragnarok: The Age of Fire and Gravel,Ignatius Donnelly
"The Canadian Brothers, Complete",John Richardson
"The Canadian Brothers, Vol. 2",John Richardson
"The Canadian Brothers, Vol. 1",John Richardson
A Zola Dictionary,J. G. Patterson
The Path of a Star,Sara Jeannette Duncan
"The Lives of the English Poets: Prior, Congreve, Blackmore and Pope",Samuel Johnson
Alaeddin and the Enchanted Lamp,John Payne
Heart of the Sunset,Rex Beach
"Lives of the English Poets: Waller, Milton, Cowley",Samuel Johnson
The Romance of Elaine,Arthur B. Reeve
The Little Minister,J. M. Barrie
The Coming of Cuculain,Standish O'Grady
The Tempting of Tavernake,E. Phillips Oppenheim
I Will Repay,Baroness Emmuska Orczy
Boris Godunov,Alexander Pushkin
Community Civics and Rural Life,Arthur W. Dunn
The Treasure-Train,Arthur B. Reeve
Rainbow's End,Rex Beach
Characters of Shakespeare's Plays,William Hazlitt
"The Life and Letters of Thomas Henry Huxley, Vol.1",Leonard Huxley
The Man of Feeling,Henry Mackenzie
Magnum Bonum,Charlotte M. Yonge
Ziska,Marie Corelli
When a Man Comes to Himself,Woodrow Wilson
Marmion,Sir Walter Scott
The Spoilers,Rex Beach
The Lion of the North,G. A. Henty
Aunt Judy's Tales,Mrs. Alfred Gatty
The War Terror,Arthur B. Reeve
The Philanderer,George Bernard Shaw
The Doctor's Dilemma,George Bernard Shaw
The Doctor's Dilemma: Preface on Doctors,George Bernard Shaw
On Being Human,Woodrow Wilson
The Rainbow Trail,Zane Grey
The Voyage of the Hoppergrass,Edmund Lester Pearson
The Winds of Chance,Rex Beach
The Children's Book of Christmas Stories,Various
"Six Short Plays, Complete",John Galsworthy
"The Fifth Series Plays, Complete",John Galsworthy
"The Fourth Series Plays, Complete",John Galsworthy
"The Third Series Plays, Complete",John Galsworthy
"The Second Series Plays, Complete",John Galsworthy
"The First Series Plays, Complete",John Galsworthy
The Dream Doctor,Arthur B. Reeve
Creditors; Pariah,August Strindberg
Absalom's Hair,Bjornstjerne Bjornson
The Morals of Marcus Ordeyne,William J. Locke
The Unspeakable Perk,Samuel Hopkins Adams
Katherine's Sheaves,Mrs. George Sheldon
The Poisoned Pen,Arthur B. Reeve
Harriet and the Piper,Kathleen Norris
Journal of an Overland Expedition in Australia,Ludwig Leichhardt
The Motor Boys on the Pacific,Clarence Young
The Rover Boys in New York,Arthur M. Winfield
The Rover Boys in Business,Arthur M. Winfield
Relativity: The Special and General Theory,Albert Einstein
Two Boys and a Fortune,"Matthew White, Jr."
Number Seventeen,Louis Tracy
True to Himself,Edward Stratemeyer
Five Thousand Miles Underground,Roy Rockwood
A Texas Ranger,William MacLeod Raine
"Diddie, Dumps, and Tot",Louise-Clarke Pyrnelle
The Pony Rider Boys in New Mexico,Frank Gee Patchin
The Adventures of a Boy Reporter,Harry Steele Morrison
A Sweet Girl Graduate,Mrs. L. T. Meade
The Outdoor Girls at Wild Rose Lodge,Laura Lee Hope
The Outdoor Girls at Rainbow Lake,Laura Lee Hope
The Four Epochs of Woman's Life,Anna M. Galbraith
Ruth Fielding of the Red Mill,Alice B. Emerson
The Hidden Children,Robert W. Chambers
Slips of Speech,John H. Bechtel
A Rock in the Baltic,Robert Barr
Minnesota and Dacotah,C. C. Andrews
Old Granny Fox,Thornton W. Burgess
Blacky the Crow,Thornton W. Burgess
The March of Portola and the Discovery of the Bay of San Francisco,Zoeth S. Eldredge and E.J. Molera
The McNaughtens,Jean-Francois Regnard C
"Expedition into Central Australia, Vols. 1 and 2",Charles Sturt
Spinifex and Sand,David W Carnegie
"Australia Twice Traversed, The Romance of Exploration",Ernest Giles
"Frederick Chopin as a Man and Musician, Complete",Frederick Niecks
"Frederick Chopin as a Man and Musician, Vol. 2",Frederick Niecks
The Great Intendant,Thomas Chapais
There are Crimes and Crimes,August Strindberg
The Belton Estate,Anthony Trollope
Luck or Cunning,Samuel Butler
Waverley,Sir Walter Scott
"Waverley, Volume II",Sir Walter Scott
"Waverley, Volume I",Sir Walter Scott
Moral,Ludwig Thoma
The Story Of Germ Life,H. W. Conn
Our Mr. Wrenn,Sinclair Lewis
On Picket Duty and Other Tales,Louisa May Alcott
The Life and Adventures of Maj. Roger Sherman Potter,Francis Colburn Adams
Justice in the By-Ways,Francis Colburn Adams
The Heart's Secret,Maturin Murray
The Duke's Prize,Maturin Murray
Leah Mordecai,Mrs. Belle Kendrick Abbott
Laicus,Lyman Abbott
Revolution and Other Essays,Jack London
Life of John Coleridge Patteson,Charlotte M. Yonge
"String Quartet No. 2 in G Major, op. 18, no. 2, Finale",Ludwig van Beethoven
"Brandenburg Concerto No. 2 in F Major, BWV 1047, Finale",Johann Sebastian Bach
"Love, the Fiddler",Lloyd Osbourne
Sisters,Kathleen Norris
Madame Midas,Fergus Hume
Jane Allen: Junior,Edith Bancroft
Scenes and Characters,Charlotte M. Yonge
The River War,Winston S. Churchill
"Evolution of Expression, Vol. 1",Charles Wesley Emerson
The House Boat Boys,St. George Rathborne
Grace Harlowe's Senior Year at High School,Jessie Graham Flower
Chopin: The Man and His Music,James Huneker
Hudibras,Samuel Butler
The Natural History of Wiltshire,John Aubrey
A Knight of the White Cross,G. A. Henty
Won by the Sword,G.A. Henty
Paste Jewels,John Kendrick Bangs
The Fashionable Adventures of Joshua Craig,David Graham Phillips
Bulfinch's Mythology,Thomas Bulfinch
Legends of Charlemagne,Thomas Bulfinch
The Age of Chivalry,Thomas Bulfinch
The Age of Fable,Thomas Bulfinch
Dry-Farming,John A. Widtsoe
King Midas,Upton Sinclair
Bar-20 Days,Clarence E. Mulford
Young Canada's Nursery Rhymes,Various
The Blind Spot,Austin Hall and Homer Eon Flint
The Lilac Sunbonnet,S. R. Crockett
The Kellys and the O'Kellys,Anthony Trollope
Undertow,Kathleen Norris
The Heart of Rachael,Kathleen Norris
The Motor Girls,Margaret Penrose
Chess and Checkers: The Way to Mastership,Edward Lasker
"Wacousta: A Tale of the Pontiac Conspiracy, Complete",John Richardson
"Wacousta: A Tale of the Pontiac Conspiracy, Vol. 3",John Richardson
Five of Maxwell's Papers,James Clerk Maxwell
Moths of the Limberlost,Gene Stratton-Porter
The Lucky Man,Michel Baron C
Galusha the Magnificent,Joseph C. Lincoln
Hilda Wade,Grant Allen
Chess History and Reminiscences,Henry Edward Bird
The Only True Mother Goose Melodies,Anonymous
"Project Gutenberg History of The Netherlands, 1555-1623, Complete",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1609-23, Complete",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1614-23, Vol. 2",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1619-23",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1618-19",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1618",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1617",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1614-17",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1609-15, Vol. 1",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1613-15",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1609-14",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1610-12",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1610, Part 2",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1610, Part 1",John Lothrop Motley
"The Life and Death of John of Barneveld, Advocate of Holland, 1609-10",John Lothrop Motley
"History of the United Netherlands, 1584-1609, Complete",John Lothrop Motley
"History of the United Netherlands, 1600-09, Vol. 4, Complete",John Lothrop Motley
"History of the United Netherlands, 1609",John Lothrop Motley
"History of the United Netherlands, 1608, Part 2",John Lothrop Motley
"History of the United Netherlands, 1608, Part 1",John Lothrop Motley
"History of the United Netherlands, 1607, Part 2",John Lothrop Motley
"History of the United Netherlands, 1607, Part 1",John Lothrop Motley
"History of the United Netherlands, 1605-07",John Lothrop Motley
"History of the United Netherlands, 1604-05",John Lothrop Motley
"History of the United Netherlands, 1603-04",John Lothrop Motley
"History of the United Netherlands, 1602-03",John Lothrop Motley
"History of the United Netherlands, 1600-02",John Lothrop Motley
"History of the United Netherlands, 1600",John Lothrop Motley
"History of the United Netherlands, 1590-99",John Lothrop Motley
"History of the United Netherlands, 1598-99",John Lothrop Motley
"History of the United Netherlands, 1598",John Lothrop Motley
"History of the United Netherlands, 1597-98",John Lothrop Motley
"History of the United Netherlands, 1595-96",John Lothrop Motley
"History of the United Netherlands, 1595",John Lothrop Motley
"History of the United Netherlands, 1594",John Lothrop Motley
"History of the United Netherlands, 1592-94",John Lothrop Motley
"History of the United Netherlands, 1592",John Lothrop Motley
"History of the United Netherlands, 1590-92",John Lothrop Motley
"History of the United Netherlands, 1590, Part 2",John Lothrop Motley
"History of the United Netherlands, 1590, Part 1",John Lothrop Motley
"History of the United Netherlands, 1586-89, Complete",John Lothrop Motley
"History of the United Netherlands, 1588-89",John Lothrop Motley
"History of the United Netherlands, 1588, Part 4",John Lothrop Motley
"History of the United Netherlands, 1588, Part 3",John Lothrop Motley
"History of the United Netherlands, 1588, Part 2",John Lothrop Motley
"History of the United Netherlands, 1588, Part 1",John Lothrop Motley
"History of the United Netherlands, 1587, Part 4",John Lothrop Motley
"History of the United Netherlands, 1587, Part 3",John Lothrop Motley
"History of the United Netherlands, 1587, Part 2",John Lothrop Motley
"History of the United Netherlands, 1587, Part 1",John Lothrop Motley
"History of the United Netherlands, 1586, Part 5",John Lothrop Motley
"History of the United Netherlands, 1586, Part 4",John Lothrop Motley
"History of the United Netherlands, 1586, Part 3",John Lothrop Motley
"History of the United Netherlands, 1584-86, Complete",John Lothrop Motley
"History of the United Netherlands, 1586, Part 2",John Lothrop Motley
"History of the United Netherlands, 1586, Part 1",John Lothrop Motley
"History of the United Netherlands, 1585-86",John Lothrop Motley
"History of the United Netherlands, 1585, Part 5",John Lothrop Motley
"History of the United Netherlands, 1585, Part 4",John Lothrop Motley
"History of the United Netherlands, 1585, Part 3",John Lothrop Motley
"History of the United Netherlands, 1585, Part 2",John Lothrop Motley
"History of the United Netherlands, 1585, Part 1",John Lothrop Motley
"History of the United Netherlands, 1584-85",John Lothrop Motley
"History of the United Netherlands, 1584",John Lothrop Motley
"Rise of the Dutch Republic, Complete, 1555-84",John Lothrop Motley
"Rise of the Dutch Republic, Vol. 3 of 3, 1574-84",John Lothrop Motley
"Rise of the Dutch Republic, 1582-84",John Lothrop Motley
"Rise of the Dutch Republic, 1580-82",John Lothrop Motley
"Rise of the Dutch Republic, 1579-80",John Lothrop Motley
"History of the United Netherlands, 1587, Part 2",John Lothrop Motley
"History of the United Netherlands, 1587, Part 1",John Lothrop Motley
"Rise of the Dutch Republic, 1577-78",John Lothrop Motley
"History of the United Netherlands, 1577, Part 2",John Lothrop Motley
"History of the United Netherlands, 1577, Part 1",John Lothrop Motley
"Rise of the Dutch Republic, 1576-77",John Lothrop Motley
"Rise of the Dutch Republic, 1576",John Lothrop Motley
"Rise of the Dutch Republic, 1574-76",John Lothrop Motley
"The Rise of the Dutch Republic, Vol. 2 of 3, 1566-74",John Lothrop Motley
"Rise of the Dutch Republic, 1573-74",John Lothrop Motley
"Rise of the Dutch Republic, 1573",John Lothrop Motley
"Rise of the Dutch Republic, 1572-73",John Lothrop Motley
"Rise of the Dutch Republic, 1572",John Lothrop Motley
"Rise of the Dutch Republic, 1570-72",John Lothrop Motley
"Rise of the Dutch Republic, 1569-70",John Lothrop Motley
"Rise of the Dutch Republic, 1568, Part 2",John Lothrop Motley
"Rise of the Dutch Republic, 1568, Part 1",John Lothrop Motley
"Rise of the Dutch Republic, 1567, Part 2",John Lothrop Motley
"Rise of the Dutch Republic, 1567, Part 1",John Lothrop Motley
"Rise of the Dutch Republic, 1566, Part 2",John Lothrop Motley
"Rise of the Dutch Republic, Vol. 1 of 3, 1555-66",John Lothrop Motley
"Rise of the Dutch Republic, 1566, Part 1",John Lothrop Motley
"Rise of the Dutch Republic, 1564-65",John Lothrop Motley
"Rise of the Dutch Republic, 1563-64",John Lothrop Motley
"Rise of the Dutch Republic, 1561-62",John Lothrop Motley
"Rise of the Dutch Republic, 1555",John Lothrop Motley
"Dutch Republic, Introduction II",John Lothrop Motley
"Dutch Republic, Introduction I",John Lothrop Motley
Jack Tier or The Florida Reef,James Fenimore Cooper
The Circassian Slave; or the Sultan's Favorite,Lieutenant Maturin Murray
Dawn,Mrs. Harriet A. Adams
The Fiend's Delight,Dod Grile
In Freedom's Cause,G. A. Henty
Half a Rogue,Harold MacGrath
Black Caesar's Clan,Albert Payson Terhune
Mademoiselle Fifi,Guy de Maupassant
The Story Of Julia Page,Kathleen Norris
Zone Policeman 88,Harry A. Franck
Pecheur d'Islande,Pierre Loti
Brother and Sister,Josephine Lawrence
Riley Farm-Rhymes,James Whitcomb Riley
When We Dead Awaken,Henrik Ibsen
The Hohenzollerns in America,Stephen Leacock
Terrorists and Freedom Fighters,Sam Vaknin C
Russian Roulette,Sam Vaknin C
Sipurim,Sam Vaknin C
Strong as Death,Guy de Maupassant
"Theocritus, Bion and Moschus","Theocritus, Bion and Moschus"
The Merry Devil,William Shakespeare
Work: A Story of Experience,Louisa M. Alcott
Young Folks' History of England,C. M. Yonge
Let's collect rocks & shells,Shell Oil Company
The Mayor's Wife,Anna Katharine Green
Windows,John Galsworthy
Loyalties,John Galsworthy
A Family Man,John Galsworthy
The Game of Logic,Lewis Carroll
Civil Government of Virginia,William F. Fox
The Cossacks,Leo Tolstoy
Tillie: A Mennonite Maid,Helen Reimensnyder Martin
The Romance of Rubber,United States Rubber Company
Late Lyrics and Earlier,Thomas Hardy
The Long Ago,Jacob William Wright
California and the Californians,David Starr Jordan
The Forfeiture,Riviere Dufresny C
The Spirit of Contradiction,Charles Riviere Dufresny C
"String Quartet No.2 in D, K.155, Finale",Wolfgang Amadeus Mozart
"String quartet No.1 in G, K.80, Finale",Wolfgang Amadeus Mozart
"Opus 18 No. 1, Finale",Ludwig van Beethoven
"Baree, Son of Kazan",James Oliver Curwood
The River's End,James Oliver Curwood
Kennedy Square,F. Hopkinson Smith
At the Villa Rose,A. E. W. Mason
Ten Nights in a Bar Room,T. S. Arthur
The Country Beyond,James Oliver Curwood
E-books and e-publishing,Sam Vaknin C
Fly Leaves,C. S. Calverley
Three Prayers and Sermons,Jonathan Swift
The Tale of a Tub and The History of Martin,Jonathan Swift
Hadda Padda,Godmunder Kamban
The Shepherd of the Hills,Harold Bell Wright
The Grim Smile of the Five Towns,Arnold Bennett
When Egypt Went Broke,Holman Day
Prolegomena to the History of Israel,Julius Wellhausen
Seven Little Australians,Ethel Turner
The Songs of a Sentimental Bloke,C. J. Dennis
Observations by Mr. Dooley,Finley Peter Dunne
"Memoir of John Lothrop Motley, Complete","Oliver Wendell Holmes, Sr."
"Memoir of John L. Motley, Vol. 3","Oliver Wendell Holmes, Sr."
"Memoir of John L. Motley, Vol. 2","Oliver Wendell Holmes, Sr."
"A Memoir of John L. Motley, Vol. 1","Oliver Wendell Holmes, Sr."
"Three Dialogues between Hylas and Philonous, in Opposition to Sceptics and Atheists",George Berkeley
A Treatise Concerning the Principles of Human Knowledge,George Berkeley
An Essay Towards a New Theory of Vision,George Berkeley
Darkness and Daylight,Mary J. Holmes
"Wacousta: A Tale of the Pontiac Conspiracy, Vol. 2",John Richardson
"Wacousta: A Tale of the Pontiac Conspiracy, Vol. 1",John Richardson
A Day In Old Athens,William Stearns Davis
An African Millionaire,Grant Allen
Mr. Achilles,Jennette Lee
The Veiled Lady,F. Hopkinson Smith
The Landloper,Holman Day
Tom Swift in the City of Gold,Victor Appleton
The Story Of Electricity,John Munro
Brewster's Millions,George Barr McCutcheon
The Valley Of Silent Men,James Oliver Curwo
Yama,Alexandra Kuprin
"A Treatise of Human Nature, Vols. 1 & 2",David Hume
Nomads of the North,James Oliver Curwood
Flower of the North,James Oliver Curwood
The Flaming Forest,James Oliver Curwood
The Ethics of the Dust,John Ruskin
The Unforseen Return,Jean-Francois Regnard C
We of the Never-Never,"Jeanie ""Mrs. Aeneas"" Gunn"
Whitefoot the Wood Mouse,Thornton W. Burgess
Peter Bell the Third,Percy Bysshe Shelley
The Witch of Atlas,Percy Bysshe Shelley
Notes to The Complete Poetical Works of Percy Bysshe Shelley,Mary W. Shelley
Mademoiselle of Monte Carlo,William Le Queux
"Famous Affinities of History, Vols. 1-4",Lyndon Orr
"Famous Affinities of History, Vol. 4",Lyndon Orr
"Famous Affinities of History, Vol. 3",Lyndon Orr
"Famous Affinities of History, Vol. 2",Lyndon Orr
"Famous Affinities of History, Vol. 1",Lyndon Orr
Saturday's Child,Kathleen Norris
Underground,Suelette Dreyfus C
After the Rain,Sam Vaknin
The Union Pacific Trail,Zane Grey
Socrates,Voltaire C
Nonsense Novels,Stephen Leacock
"Frederick Chopin as a Man and Musician, Vol. 1",Frederick Niecks
Manuel Pereira,Francis Colburn Adams
"Lives of Poets: Addison, etc.",Samuel Johnson
"Lives of Poets: Gay, etc.",Samuel Johnson
"Our World, or, The Slaveholders Daughter",Francis Colburn Adams
Outpost,J. G. Austin
"The Sea-Witch, or, The African Quadroon, A Story of the Slave Coast",Maturin Murray
Tennessee's Partner,Bret Harte
Notes by the Way in A Sailor's Life,Arthur E. Knights
The Galleries of the Exposition,Eugen Neuhaus
The Story of the Pony Express,Glenn D. Bradley
Lightfoot the Deer,Thornton W. Burgess
"Town and Country, or, Life at Home and Abroad",John S. Adams
"Siege of Washington, D.C.",Francis Colburn Adams
"Seven Wives and Seven Prisons, or Experiences in the Life of a Matrimonial Maniac",L. A. Abbott
Letters from an American Farmer,Hector St. John Crevecoeur
Signora Fantastici,Madame de Stael C
"Light, Life, and Love, Second Edition",W. R. Inge
Malignant Self Love,Sam Vaknin C
Narcissism Book of Quotes,Sam Vaknin C
Madame Aubin,Paul Verlaine C
Timothy Crump's Ward: A Story of American Life,Horatio Alger
"Lady Hester or, Ursula's Narrative",Charlotte M. Yonge
"Personal Narrative of a Pilgrimage to Al-Madinah and Meccah, Volume 2",Sir Richard Francis Burton]
"Personal Narrative of a Pilgrimage to Al-Madinah and Meccah, Volume 1",Sir Richard Francis Burton]
Checkmates for 4 Pieces,William Brett Fishburne
"Chronicles of Canada, Volume 5 of 32, Seigneurs of Old Canada: A Chronicle of New-World Feudalism",William Bennett Munro
The Daemon of the World,Percy Bysshe Shelley
God's Good Man,Marie Corelli
Escape and Other Essays,Arthur Christopher Benson
Their Silver Wedding Journey,William Dean Howells
"The Landlord at Lion's Head, Complete",William Dean Howells
"The Adventures of Mr. Verdant Green, Vols. 1 to 3",Cuthbert Bede
Vignettes Of San Francisco,Almira Bailey
The Vigilance Committee of '56,James O'Meara
Starr King in California,William Day Simonds
"San Francisco During the Eventful Days of April, 1906",James B. Stetson
California Romantic and Resourceful,John F. Davis
California 1849-1913,L. H. Woolley
Angel Island,Inez Haynes Gillmore
A Tramp Through the Bret Harte Country,Thomas Dykes Beasley
Tom Swift and His Great Searchlight,Victor Appleton
Uncle William,Jennette Lee
