Title,Author
"Number ""e"" to Approximately 1 Million Places",Robert Nemiroff and Jerry Bonnell
The Poison Belt,Arthur Conan Doyle
A Girl Of The Limberlost,Gene Stratton-Porter
Deuteronomical Books of the Bible,Anonymous
At the Earth's Core,Edgar Rice Burroughs
Return of the Native,Thomas Hardy
Northanger Abbey,Jane Austen
Treasure Island,Robert Louis Stevenson
A Tramp Abroad,Mark Twain
Big Dummy's Guide to the Internet,Electronic Frontier Foundation C
Motion Pictures of the Apollo 11 Lunar Landing,United States
United States Census Figures back to 1630,the U. S. Bureau of the Census
Tenniel Illustrations for Alice in Wonderland,Sir John Tenniel
The Secret Garden,Frances Hodgson Burnett
Violists,Richard McGowan C
Freckles,Gene Stratton-Porter
Tess of the d'Urbervilles,Thomas Hardy
Renascence and Other Poems,Edna St. Vincent Millay
The Return of Sherlock Holmes,Arthur Conan Doyle
Far from the Madding Crowd,Thomas Hardy
Jungle Tales of Tarzan,Edgar Rice Burroughs
Persuasion,Jane Austen
Around the World in 80 Days,Jules Verne
The Tragedy of Pudd'nhead Wilson,Mark Twain
Hacker Crackdown,Bruce Sterling C
Collected Articles of Frederick Douglass,Frederick Douglass
A Tale of Two Cities,Charles Dickens
Flatland,Edwin A. Abbott
The Monster Men,Edgar Rice Burroughs
The Prisoner of Zenda,Anthony Hope
Alexander's Bridge and The Barrel Organ,Willa Cather and Alfred Noyes
"Tom Sawyer, Detective",Mark Twain
Tarzan and the Jewels of Opar,Edgar Rice Burroughs
Tom Sawyer Abroad,Mark Twain
The Son of Tarzan,Edgar Rice Burroughs
"North American Free Trade Agreement, Oct. 7, 1992",Canada
Price/Cost Indexes from 1875 to 1989,The United States Government
"The World Factbook, 1993 Edition",the United States CIA
"A Connecticut Yankee in King Arthur's Court, Complete",Mark Twain
The Beasts of Tarzan,Edgar Rice Burroughs
Frankenstein,Mary Wollstonecraft Shelley
From the Earth to the Moon,Jules Verne
Ivanhoe,Walter Scott
The Return of Tarzan,Edgar Rice Burroughs
The Online World,Odd de Presno C
Terminal Compromise,Winn Schwartau C
Tarzan of the Apes,Edgar Rice Burroughs
The House of the Seven Gables,Nathaniel Hawthorne
Adventures of Huckleberry Finn,Mark Twain
Email 101,John E. Goodwin C
"The Adventures of Tom Sawyer, Complete",Mark Twain
The Red Badge of Courage,Stephen Carne
"Thuvia, Maid of Mars",Edgar Rice Burroughs
On the Duty of Civil Disobedience,Henry David Thoreau
What Is Man?,Mark Twain
The 32nd Mersenne Prime,David Slowinski
Warlord of Mars,Edgar Rice Burroughs
The Black Experience in America,Norman Coombs C
The Dawn of Amateur Radio in the U.K. and Greece,Norman F. Joly C
"The First 100,000 Prime Numbers",Unknown
The Gods of Mars,Edgar Rice Burroughs
"The Number ""e""",Unknown
A Princess of Mars,Edgar Rice Burroughs
The Communist Manifesto,Karl Marx and Friedrich Engels
The Scarlet Pimpernel,Baroness Orczy
A Discourse on Method,René Descartes
Paradise Regained,John Milton
Aladdin and the Magic Lamp,Unknown
NREN For All: Insurmountable Opportunity,Jean Armour Polly C
The Wonderful Wizard of Oz,L. Frank Baum
The Marvellous Land of Oz,L. Frank Baum
LOC Workshop on Electronic Texts,The Library of Congress
The Square Root of 2,Stan Kerr
Anne Of The Island,Lucy Maud Montgomery
Pi,Scott Hemphill
Surfing the Internet,Jean Armour Polly C
"The World Factbook, 1992 Edition","the United States CIA,"
Anne Of Avonlea,Lucy Maud Montgomery
"A Christmas Carol, A Ghost Story of Christmas",Charles Dickens
Anne Of Green Gables,Lucy Maud Montgomery
Song of the Lark,Willa Cather
The Strange Case Of Dr. Jekyll And Mr. Hyde,Robert Louis Stevenson
The Strange Case Of Dr. Jekyll And Mr. Hyde,Robert Louis Stevenson
The Legend of Sleepy Hollow,Washington Irving
Northwestnet NUSIRG Internet Guide,Jonathan Kochmer C
Hitchhiker's Guide to the Internet,Ed Krol C
